phrase|type
0 hatfield|co-occurring
0 mr|co-occurring
00 m|co-occurring
00 p|co-occurring
000 amend|co-occurring
000 copi|co-occurring
000 insert|co-occurring
000 line|co-occurring
000 move|co-occurring
000 page|co-occurring
000 question|co-occurring
000 read|co-occurring
000 shall|co-occurring
000 strike|co-occurring
1 1898|co-occurring
1 30|co-occurring
1 addit|co-occurring
1 agre|co-occurring
1 ask|co-occurring
1 begin|co-occurring
1 bill|co-occurring
1 call|co-occurring
1 constitut|co-occurring
1 desir|co-occurring
1 end|co-occurring
1 h|co-occurring
1 hope|co-occurring
1 insert|co-occurring
1 like|co-occurring
1 line|co-occurring
1 made|co-occurring
1 make|co-occurring
1 member|co-occurring
1 minut|co-occurring
1 move|co-occurring
1 object|co-occurring
1 oclock|co-occurring
1 offer|co-occurring
1 order|co-occurring
1 page|co-occurring
1 paragraph|co-occurring
1 pass|co-occurring
1 present|co-occurring
1 print|co-occurring
1 propos|co-occurring
1 question|co-occurring
1 r|co-occurring
1 refer|co-occurring
1 rule|co-occurring
1 section|co-occurring
1 strike|co-occurring
1 titl|co-occurring
1 understand|co-occurring
1 vote|co-occurring
1 wish|co-occurring
1 word|co-occurring
10 00|co-occurring
10 1994|co-occurring
10 30|co-occurring
10 45|co-occurring
10 addit|co-occurring
10 amend|co-occurring
10 bill|co-occurring
10 committe|co-occurring
10 follow|co-occurring
10 hous|co-occurring
10 insert|co-occurring
10 line|co-occurring
10 m|co-occurring
10 member|co-occurring
10 minut|co-occurring
10 oclock|co-occurring
10 p|co-occurring
10 page|co-occurring
10 propos|co-occurring
10 report|co-occurring
10 rule|co-occurring
10 second|co-occurring
10 section|co-occurring
10 senat|co-occurring
10 strike|co-occurring
10 unit|co-occurring
10 vote|co-occurring
10 word|co-occurring
100 amend|co-occurring
10minut vote|co-occurring
10th day|co-occurring
11 14|co-occurring
11 15|co-occurring
11 1916|co-occurring
11 1994|co-occurring
11 30|co-occurring
11 45|co-occurring
11 50|co-occurring
11 amend|co-occurring
11 bill|co-occurring
11 follow|co-occurring
11 hous|co-occurring
11 insert|co-occurring
11 line|co-occurring
11 m|co-occurring
11 member|co-occurring
11 oclock|co-occurring
11 page|co-occurring
11 propos|co-occurring
11 r|co-occurring
11 report|co-occurring
11 section|co-occurring
11 senat|co-occurring
11 strike|co-occurring
11 unit|co-occurring
11 vote|co-occurring
11 word|co-occurring
12 13|co-occurring
12 1995|co-occurring
12 30|co-occurring
12 45|co-occurring
12 amend|co-occurring
12 bill|co-occurring
12 committe|co-occurring
12 follow|co-occurring
12 insert|co-occurring
12 line|co-occurring
12 member|co-occurring
12 minut|co-occurring
12 noon|co-occurring
12 oclock|co-occurring
12 page|co-occurring
12 propos|co-occurring
12 report|co-occurring
12 rule|co-occurring
12 section|co-occurring
12 senat|co-occurring
12 strike|co-occurring
12 vote|co-occurring
12 will|co-occurring
12 word|co-occurring
12th day|co-occurring
13 amend|co-occurring
13 bill|co-occurring
13 follow|co-occurring
13 line|co-occurring
13 member|co-occurring
13 propos|co-occurring
13 section|co-occurring
13 senat|co-occurring
13 strike|co-occurring
13 will|co-occurring
13 word|co-occurring
14 amend|co-occurring
14 bill|co-occurring
14 insert|co-occurring
14 line|co-occurring
14 member|co-occurring
14 propos|co-occurring
14 senat|co-occurring
14 strike|co-occurring
14 will|co-occurring
14 word|co-occurring
